county_fips,county_state_name,self_employed,marriage_divorce_rate,living_alone,living_alone_65over,living_grandchildren,carpool_drive_alone
1001,"Autauga County, Alabama",0.071144599,4.279464745,0.272054868,0.121436256,0.031403417,0.086610081
1003,"Baldwin County, Alabama",0.140647435,4.74236093,0.283551023,0.131704147,0.037751966,0.084999652
1005,"Barbour County, Alabama",0.100094652,2.638114895,0.343944099,0.16648181,0.042477322,0.126388077
1007,"Bibb County, Alabama",0.083474885,3.28009828,0.300304878,0.119456763,0.064062939,0.080197322
1009,"Blount County, Alabama",0.109953331,4.732032105,0.254092296,0.12424859,0.045938013,0.110977023
1011,"Bullock County, Alabama",0.075053419,3.605063291,0.317391304,0.140289855,0.044971893,0.098773006
1013,"Butler County, Alabama",0.060440294,3.250957854,0.317346796,0.154536531,0.04661469,0.097564808
1015,"Calhoun County, Alabama",0.073319179,2.992905748,0.315552771,0.135457454,0.047207354,0.109857938
1017,"Chambers County, Alabama",0.074177282,3.376344086,0.280833904,0.128661645,0.067470956,0.103093605
1019,"Cherokee County, Alabama",0.096131415,4.362637363,0.306191858,0.157747324,0.037459283,0.093085415
1021,"Chilton County, Alabama",0.106917572,4.521209281,0.238379304,0.119130589,0.031350106,0.129901639
1023,"Choctaw County, Alabama",0.054721977,4.575729927,0.355967865,0.172532517,0.059404776,0.103923097
1025,"Clarke County, Alabama",0.089401862,3.456900402,0.351612115,0.134709331,0.06111869,0.055890805
1027,"Clay County, Alabama",0.117715392,6.482926829,0.26071103,0.121969006,0.017773019,0.097334878
1029,"Cleburne County, Alabama",0.091883345,4.282352941,0.305676098,0.17253949,0.061085271,0.128463476
1031,"Coffee County, Alabama",0.10750321,3.605002518,0.288120611,0.130383539,0.033710571,0.105585901
1033,"Colbert County, Alabama",0.090663957,3.33166476,0.294335081,0.132596923,0.025841459,0.090934449
1035,"Conecuh County, Alabama",0.077987756,4.01280683,0.400853357,0.188636874,0.033389853,0.103147398
1037,"Coosa County, Alabama",0.073164426,3.771960958,0.275568892,0.134783696,0.022294725,0.15323646
1039,"Covington County, Alabama",0.08952949,3.128160418,0.313512752,0.166478794,0.054424272,0.091375613
1041,"Crenshaw County, Alabama",0.121784879,3.416901408,0.33994627,0.140731556,0.058590467,0.160833954
1043,"Cullman County, Alabama",0.115517241,3.950487013,0.25248893,0.125976998,0.041960659,0.128479072
1045,"Dale County, Alabama",0.090091085,3.244410045,0.323041237,0.135721649,0.031190895,0.111030126
1047,"Dallas County, Alabama",0.091023052,2.661613566,0.402358842,0.18409815,0.051511335,0.084765178
1049,"De Kalb County, Alabama",0.120965387,4.698758704,0.26597898,0.127286882,0.045332606,0.14884637
1051,"Elmore County, Alabama",0.06710828,4.320875222,0.240243599,0.104990057,0.031054545,0.064468843
1053,"Escambia County, Alabama",0.076133909,2.79580908,0.366687145,0.17232376,0.036540962,0.070300429
1055,"Etowah County, Alabama",0.09148917,3.234466972,0.302879534,0.148642726,0.041659117,0.081250974
1057,"Fayette County, Alabama",0.10292249,3.963276836,0.299365131,0.164251994,0.051306413,0.09689781
1059,"Franklin County, Alabama",0.09993318,3.909321497,0.304653439,0.135688228,0.023646032,0.179741807
