county_fips,State Name,County Name,2020 Population,Adherents,Congregations,religious_adherents,religious_congregations
1001,Alabama,Autauga County,58805,30249,110,0.514395034,0.001870589
1003,Alabama,Baldwin County,231767,124351,285,0.536534537,0.001229683
1005,Alabama,Barbour County,25223,17330,93,0.687071324,0.003687111
1007,Alabama,Bibb County,22293,10887,81,0.488359575,0.003633428
1009,Alabama,Blount County,59134,33895,145,0.573189705,0.002452058
1011,Alabama,Bullock County,10357,4894,43,0.472530656,0.004151781
1013,Alabama,Butler County,19051,11645,89,0.611254002,0.004671671
1015,Alabama,Calhoun County,116441,83651,286,0.718398159,0.00245618
1017,Alabama,Chambers County,34772,19381,120,0.557373749,0.003451053
1019,Alabama,Cherokee County,24971,12551,89,0.502623043,0.003564134
1021,Alabama,Chilton County,45014,33161,133,0.736681921,0.002954636
1023,Alabama,Choctaw County,12665,7787,76,0.614844058,0.00600079
1025,Alabama,Clarke County,23087,17471,112,0.756746221,0.004851215
1027,Alabama,Clay County,14236,9775,71,0.686639505,0.004987356
1029,Alabama,Cleburne County,15056,11829,66,0.785666844,0.004383634
1031,Alabama,Coffee County,53465,37072,126,0.693388198,0.002356682
1033,Alabama,Colbert County,57227,34511,142,0.603054502,0.002481346
1035,Alabama,Conecuh County,11597,5043,56,0.434853842,0.004828835
1037,Alabama,Coosa County,10387,4901,38,0.4718398,0.003658419
1039,Alabama,Covington County,37570,21733,118,0.578466862,0.003140804
1041,Alabama,Crenshaw County,13194,8042,62,0.609519479,0.004699106
1043,Alabama,Cullman County,87866,55013,224,0.626101109,0.002549336
1045,Alabama,Dale County,49326,24837,112,0.503527551,0.002270608
1047,Alabama,Dallas County,38462,21197,128,0.551115387,0.00332796
1049,Alabama,DeKalb County,71608,45266,202,0.632136074,0.002820914
1051,Alabama,Elmore County,87977,40632,146,0.461847983,0.001659525
1053,Alabama,Escambia County,36757,24084,115,0.655222135,0.003128656
1055,Alabama,Etowah County,103436,83850,251,0.810646197,0.002426621
1057,Alabama,Fayette County,16321,9847,90,0.603333129,0.005514368
1059,Alabama,Franklin County,32113,20080,101,0.625291938,0.003145144
1061,Alabama,Geneva County,26659,15369,92,0.576503245,0.003450992
1063,Alabama,Greene County,7730,2135,29,0.276196636,0.003751617
1065,Alabama,Hale County,14785,7974,61,0.539330402,0.004125803
1067,Alabama,Henry County,17146,10551,48,0.615362184,0.002799487
1069,Alabama,Houston County,107202,90243,225,0.841803325,0.002098841
1071,Alabama,Jackson County,52579,28326,156,0.538732193,0.002966964
1073,Alabama,Jefferson County,674721,539405,"1,202",0.799448957,0.001781477
1075,Alabama,Lamar County,13972,9724,85,0.695963355,0.006083596
1077,Alabama,Lauderdale County,93564,61998,224,0.662626651,0.002394083
1079,Alabama,Lawrence County,33073,23019,101,0.696005805,0.003053851
1081,Alabama,Lee County,174241,62362,193,0.357906578,0.001107661
1083,Alabama,Limestone County,103570,54163,183,0.522960317,0.001766921
1085,Alabama,Lowndes County,10311,5330,54,0.516923674,0.005237125
1087,Alabama,Macon County,19532,11646,79,0.596252304,0.004044645
1089,Alabama,Madison County,388153,247964,527,0.638830564,0.001357712
1091,Alabama,Marengo County,19323,16840,86,0.871500285,0.004450655
1093,Alabama,Marion County,29341,16422,98,0.559694625,0.003340036
1095,Alabama,Marshall County,97612,63093,217,0.646365201,0.002223087
1097,Alabama,Mobile County,414809,302706,656,0.729747908,0.001581451
1099,Alabama,Monroe County,19772,12987,80,0.656837953,0.004046126
1101,Alabama,Montgomery County,228954,168933,388,0.737846904,0.001694664
1103,Alabama,Morgan County,123421,85119,250,0.689663834,0.002025587
1105,Alabama,Perry County,8511,4673,47,0.549054165,0.005522265
1107,Alabama,Pickens County,19123,13315,99,0.696281964,0.005177012
1109,Alabama,Pike County,33009,16122,84,0.488412251,0.002544761
1111,Alabama,Randolph County,21967,10894,99,0.495925707,0.00450676
1113,Alabama,Russell County,59183,36124,125,0.61037798,0.002112093
1117,Alabama,Shelby County,223024,98262,236,0.440589354,0.001058182
1115,Alabama,St Clair County,91103,47436,162,0.520685378,0.001778207
1119,Alabama,Sumter County,12345,5009,41,0.405751316,0.003321183
1121,Alabama,Talladega County,82149,46354,217,0.564267368,0.002641542
1123,Alabama,Tallapoosa County,41311,30202,139,0.731088572,0.003364721
1125,Alabama,Tuscaloosa County,227036,111735,320,0.49214662,0.001409468
1127,Alabama,Walker County,65342,43544,217,0.666401396,0.003320988
1129,Alabama,Washington County,15388,10084,75,0.655315831,0.004873928
1131,Alabama,Wilcox County,10600,5633,62,0.531415094,0.005849057
1133,Alabama,Winston County,23540,13708,74,0.582327952,0.003143585
2013,Alaska,Aleutians East Borough,3420,1425,9,0.416666667,0.002631579
2016,Alaska,Aleutians West Census Area,5232,985,10,0.188264526,0.001911315
2020,Alaska,Anchorage Municipality,291247,109633,350,0.376426195,0.001201729
2050,Alaska,Bethel Census Area,18666,7216,62,0.386585235,0.003321547
2060,Alaska,Bristol Bay Borough,844,225,7,0.266587678,0.008293839
2063,Alaska,Chugach Census Area,7102,2573,24,0.362292312,0.00337933
2066,Alaska,Copper River Census Area,2617,866,9,0.330913259,0.003439052
2068,Alaska,Denali Borough,1619,612,7,0.378011118,0.004323657
2070,Alaska,Dillingham Census Area,4857,1723,20,0.354745728,0.004117768
2090,Alaska,Fairbanks North Star Borough,95655,28903,122,0.3021588,0.001275417
2100,Alaska,Haines Borough,2080,640,10,0.307692308,0.004807692
2105,Alaska,Hoonah-Angoon Census Area,2365,455,12,0.192389006,0.005073996
2110,Alaska,Juneau City and Borough,32255,10531,48,0.326492017,0.001488141
2122,Alaska,Kenai Peninsula Borough,58799,25268,136,0.4297352,0.002312965
2130,Alaska,Ketchikan Gateway Borough,13948,4385,25,0.31438199,0.001792372
2150,Alaska,Kodiak Island Borough,13101,4332,28,0.330661782,0.002137241
2158,Alaska,Kusilvak Census Area,8368,5649,24,0.675071702,0.002868069
2164,Alaska,Lake and Peninsula Borough,1476,663,9,0.449186992,0.006097561
2170,Alaska,Matanuska-Susitna Borough,107081,32707,137,0.305441675,0.001279405
2180,Alaska,Nome Census Area,10046,3433,33,0.341728051,0.00328489
2185,Alaska,North Slope Borough,11031,1604,17,0.145408395,0.001541111
2188,Alaska,Northwest Arctic Borough,7793,1419,24,0.182086488,0.003079687
2195,Alaska,Petersburg Borough,3398,1184,13,0.348440259,0.00382578
2198,Alaska,Prince of Wales-Hyder Census Area,5753,1814,24,0.315313749,0.004171736
2220,Alaska,Sitka City and Borough,8458,2340,19,0.276661149,0.002246394
2230,Alaska,Skagway Municipality,1240,275,4,0.221774194,0.003225806
2240,Alaska,Southeast Fairbanks Census Area,6808,2253,30,0.330934195,0.00440658
2275,Alaska,Wrangell City and Borough,2127,784,11,0.368594264,0.005171603
2282,Alaska,Yakutat City and Borough,662,406,4,0.613293051,0.006042296
2290,Alaska,Yukon-Koyukuk Census Area,5343,3717,36,0.695676586,0.006737788
4001,Arizona,Apache County,66021,25412,127,0.384907832,0.00192363
4003,Arizona,Cochise County,125447,56955,219,0.454016437,0.001745757
4005,Arizona,Coconino County,145101,47076,156,0.324436082,0.001075113
4007,Arizona,Gila County,53272,17611,88,0.330586424,0.0016519
4009,Arizona,Graham County,38533,17601,69,0.456777308,0.001790673
4011,Arizona,Greenlee County,9563,2778,19,0.290494615,0.001986824
4012,Arizona,La Paz County,16557,5068,37,0.306094099,0.002234704
4013,Arizona,Maricopa County,4420568,2088166,"2,655",0.472375043,0.000600602
4015,Arizona,Mohave County,213267,54656,161,0.256279687,0.000754922
4017,Arizona,Navajo County,106717,48153,204,0.451221455,0.001911598
4019,Arizona,Pima County,1043433,405288,707,0.388417848,0.000677571
4021,Arizona,Pinal County,425264,170557,341,0.401061458,0.000801855
4023,Arizona,Santa Cruz County,47669,42058,46,0.882292475,0.000964988
4025,Arizona,Yavapai County,236209,98175,266,0.415627686,0.001126121
4027,Arizona,Yuma County,203881,71453,148,0.350464241,0.000725914
5001,Arkansas,Arkansas County,17149,11556,75,0.673858534,0.004373433
5003,Arkansas,Ashley County,19062,16676,97,0.874829504,0.005088658
5005,Arkansas,Baxter County,41627,20363,90,0.489177697,0.002162058
5007,Arkansas,Benton County,284333,138790,376,0.48812484,0.001322393
5009,Arkansas,Boone County,37373,24564,101,0.657265941,0.002702486
5011,Arkansas,Bradley County,10545,8153,62,0.773162636,0.005879564
5013,Arkansas,Calhoun County,4739,4321,41,0.911795737,0.008651614
5015,Arkansas,Carroll County,28260,12385,81,0.438251946,0.002866242
5017,Arkansas,Chicot County,10208,5683,38,0.556720219,0.003722571
5019,Arkansas,Clark County,21446,16891,99,0.78760608,0.004616245
5021,Arkansas,Clay County,14552,7559,57,0.519447499,0.003916987
5023,Arkansas,Cleburne County,24711,15665,74,0.63392821,0.002994618
5025,Arkansas,Cleveland County,7550,4866,46,0.644503311,0.006092715
5027,Arkansas,Columbia County,22801,18864,99,0.827332135,0.004341915
5029,Arkansas,Conway County,20715,10617,80,0.512527154,0.003861936
5031,Arkansas,Craighead County,111231,67207,222,0.604211056,0.001995846
5033,Arkansas,Crawford County,60133,31726,142,0.52759716,0.002361432
5035,Arkansas,Crittenden County,48163,31727,96,0.658742188,0.001993231
5037,Arkansas,Cross County,16833,9769,62,0.580348126,0.003683241
5039,Arkansas,Dallas County,6482,4349,42,0.670934897,0.006479482
5041,Arkansas,Desha County,11395,7598,58,0.666783677,0.005089952
5043,Arkansas,Drew County,17350,13944,74,0.803688761,0.00426513
5045,Arkansas,Faulkner County,123498,68102,200,0.551442129,0.001619459
5047,Arkansas,Franklin County,17097,8104,51,0.474001287,0.002982979
5049,Arkansas,Fulton County,12075,5129,44,0.424761905,0.003643892
5051,Arkansas,Garland County,100180,51165,184,0.510730685,0.001836694
5053,Arkansas,Grant County,17958,9002,58,0.501280766,0.003229758
5055,Arkansas,Greene County,45736,21376,106,0.467377995,0.002317649
5057,Arkansas,Hempstead County,20065,12677,94,0.631796661,0.004684774
5059,Arkansas,Hot Spring County,33040,16719,104,0.506023002,0.0031477
5061,Arkansas,Howard County,12785,7785,62,0.608916699,0.004849433
5063,Arkansas,Independence County,37938,27735,119,0.731061205,0.003136697
5065,Arkansas,Izard County,13577,6720,60,0.494954703,0.004419238
